layer,check,value,status
phase6::robertson_nature_reserve,crs,EPSG:7856,OK
phase6::robertson_nature_reserve,null_geometry,0,OK
phase6::robertson_nature_reserve,invalid_geometry,0,OK
phase6::opportunity_grid,feature_count,8210,OK
phase6::opportunity_grid,crs,EPSG:7856,OK
phase6::opportunity_grid,null_geometry,0,OK
phase6::opportunity_grid,invalid_geometry,0,OK
phase6::component_polygons,feature_count,6,OK
phase6::component_polygons,crs,EPSG:7856,OK
phase6::component_polygons,null_geometry,0,OK
phase6::component_polygons,invalid_geometry,0,OK
phase6::crown_land,feature_count,823,OK
phase6::crown_land,crs,EPSG:7856,OK
phase6::crown_land,null_geometry,0,OK
phase6::crown_land,invalid_geometry,0,OK
phase7::study_area,feature_count,1,OK
phase7::study_area,crs,EPSG:7856,OK
phase7::study_area,null_geometry,0,OK
phase7::study_area,invalid_geometry,0,OK
phase7::context_aoi,feature_count,1,OK
phase7::context_aoi,crs,EPSG:7856,OK
phase7::context_aoi,null_geometry,0,OK
phase7::context_aoi,invalid_geometry,0,OK
phase7::robertson_nature_reserve,feature_count,1,OK
phase7::robertson_nature_reserve,crs,EPSG:7856,OK
phase7::robertson_nature_reserve,null_geometry,0,OK
phase7::robertson_nature_reserve,invalid_geometry,0,OK
phase7::protected_areas,feature_count,9,OK
phase7::protected_areas,crs,EPSG:7856,OK
phase7::protected_areas,null_geometry,0,OK
phase7::protected_areas,invalid_geometry,0,OK
phase7::lga,feature_count,5,OK
phase7::lga,crs,EPSG:7856,OK
phase7::lga,null_geometry,0,OK
phase7::lga,invalid_geometry,0,OK
phase7::roads,feature_count,5125,OK
phase7::roads,crs,EPSG:7856,OK
phase7::roads,null_geometry,0,OK
phase7::roads,invalid_geometry,0,OK
phase7::native_vegetation,feature_count,11490,OK
phase7::native_vegetation,crs,EPSG:7856,OK
phase7::native_vegetation,null_geometry,0,OK
phase7::native_vegetation,invalid_geometry,0,OK
phase7::rainforest_extant,feature_count,2464,OK
phase7::rainforest_extant,crs,EPSG:7856,OK
phase7::rainforest_extant,null_geometry,0,OK
phase7::rainforest_extant,invalid_geometry,0,OK
phase7::wet_sclerophyll_extant,feature_count,5671,OK
phase7::wet_sclerophyll_extant,crs,EPSG:7856,OK
phase7::wet_sclerophyll_extant,null_geometry,0,OK
phase7::wet_sclerophyll_extant,invalid_geometry,0,OK
phase7::rainforest_preclear_modelled,feature_count,818,OK
phase7::rainforest_preclear_modelled,crs,EPSG:7856,OK
phase7::rainforest_preclear_modelled,null_geometry,0,OK
phase7::rainforest_preclear_modelled,invalid_geometry,0,OK
phase7::cleared_or_non_native,feature_count,1,OK
phase7::cleared_or_non_native,crs,EPSG:7856,OK
phase7::cleared_or_non_native,null_geometry,0,OK
phase7::cleared_or_non_native,invalid_geometry,0,OK
phase7::species_observations_clean,feature_count,57696,OK
phase7::species_observations_clean,crs,EPSG:7856,OK
phase7::species_observations_clean,null_geometry,0,OK
phase7::species_observations_clean,invalid_geometry,0,OK
phase7::threatened_species_aggregated,feature_count,953,OK
phase7::threatened_species_aggregated,crs,EPSG:7856,OK
phase7::threatened_species_aggregated,null_geometry,0,OK
phase7::threatened_species_aggregated,invalid_geometry,0,OK
phase7::habitat_patches,feature_count,702,OK
phase7::habitat_patches,crs,EPSG:7856,OK
phase7::habitat_patches,null_geometry,0,OK
phase7::habitat_patches,invalid_geometry,0,OK
phase7::core_habitat_patches,feature_count,784,OK
phase7::core_habitat_patches,crs,EPSG:7856,OK
phase7::core_habitat_patches,null_geometry,0,OK
phase7::core_habitat_patches,invalid_geometry,0,OK
phase7::rainforest_patches,feature_count,481,OK
phase7::rainforest_patches,crs,EPSG:7856,OK
phase7::rainforest_patches,null_geometry,0,OK
phase7::rainforest_patches,invalid_geometry,0,OK
phase7::roads_barriers,feature_count,2033,OK
phase7::roads_barriers,crs,EPSG:7856,OK
phase7::roads_barriers,null_geometry,0,OK
phase7::roads_barriers,invalid_geometry,0,OK
phase7::hydro_lines,feature_count,2966,OK
phase7::hydro_lines,crs,EPSG:7856,OK
phase7::hydro_lines,null_geometry,0,OK
phase7::hydro_lines,invalid_geometry,0,OK
phase7::hydro_areas,feature_count,1108,OK
phase7::hydro_areas,crs,EPSG:7856,OK
phase7::hydro_areas,null_geometry,0,OK
phase7::hydro_areas,invalid_geometry,0,OK
phase7::named_watercourses,feature_count,61,OK
phase7::named_watercourses,crs,EPSG:7856,OK
phase7::named_watercourses,null_geometry,0,OK
phase7::named_watercourses,invalid_geometry,0,OK
phase7::riparian_buffers,feature_count,2,OK
phase7::riparian_buffers,crs,EPSG:7856,OK
phase7::riparian_buffers,null_geometry,0,OK
phase7::riparian_buffers,invalid_geometry,0,OK
phase7::soil_landscapes,feature_count,88,OK
phase7::soil_landscapes,crs,EPSG:7856,OK
phase7::soil_landscapes,null_geometry,0,OK
phase7::soil_landscapes,invalid_geometry,0,OK
phase7::geology_rock_units,feature_count,126,OK
phase7::geology_rock_units,crs,EPSG:7856,OK
phase7::geology_rock_units,null_geometry,0,OK
phase7::geology_rock_units,invalid_geometry,0,OK
phase7::bushfire_prone_land,feature_count,424,OK
phase7::bushfire_prone_land,crs,EPSG:7856,OK
phase7::bushfire_prone_land,null_geometry,0,OK
phase7::bushfire_prone_land,invalid_geometry,0,OK
phase7::component_polygons,feature_count,6,OK
phase7::component_polygons,crs,EPSG:7856,OK
phase7::component_polygons,null_geometry,0,OK
phase7::component_polygons,invalid_geometry,0,OK
phase7::crown_land,feature_count,823,OK
phase7::crown_land,crs,EPSG:7856,OK
phase7::crown_land,null_geometry,0,OK
phase7::crown_land,invalid_geometry,0,OK
phase7::analysis_grid_metrics,feature_count,8210,OK
phase7::analysis_grid_metrics,crs,EPSG:7856,OK
phase7::analysis_grid_metrics,null_geometry,0,OK
phase7::analysis_grid_metrics,invalid_geometry,0,OK
reserve_ecological_profile,feature_count,1,OK
reserve_ecological_profile,crs,EPSG:7856,OK
reserve_ecological_profile,null_geometry,0,OK
reserve_ecological_profile,invalid_geometry,0,OK
reserve_ecological_profile,area_vs_gazetted_ha,0.06700000000000017,OK
reserve_ecological_profile,feature_count,1,OK
reserve_ecological_profile,crs,EPSG:7856,OK
reserve_ecological_profile,null_geometry,0,OK
reserve_ecological_profile,invalid_geometry,0,OK
reserve_ecological_profile,area_vs_gazetted_ha,0.06700000000000017,OK
