scientificName,taxon_group,vernacularName,stateConservation,countryConservation,n_records,year_min,year_max,is_threatened,is_sensitive
Oryctolagus cuniculus,Mammalia,Rabbit,Not Listed,Not Listed,5,2010.0,2024.0,False,False
Rubus anglocandicans,Flora,Blackberry,Not Listed,Not Listed,5,1917.0,1990.0,False,False
Trichoglossus haematodus,Aves,Rainbow Lorikeet,Not Listed,Not Listed,5,2014.0,2024.0,False,False
Zosterops lateralis,Aves,Silvereye,Not Listed,Not Listed,5,2003.0,2024.0,False,False
Anas superciliosa,Aves,Pacific Black Duck,Not Listed,Not Listed,4,2003.0,2024.0,False,False
Carex appressa,Flora,Tall Sedge,Not Listed,Not Listed,4,1990.0,2003.0,False,False
Cervus sp.,Mammalia,Unidentified Deer,Not Listed,Not Listed,4,1980.0,2004.0,False,False
Colluricincla harmonica,Aves,Grey Shrike-thrush,Not Listed,Not Listed,4,1992.0,2017.0,False,False
Cracticus torquatus,Aves,Grey Butcherbird,Not Listed,Not Listed,4,2003.0,2023.0,False,False
Fieldia australis,Flora,,Not Listed,Not Listed,4,1970.0,1990.0,False,False
Marsdenia spp.,Flora,,Not Listed,Not Listed,4,2001.0,2010.0,False,False
Microsorum pustulatum subsp. pustulatum,Flora,,Not Listed,Not Listed,4,1976.0,1982.0,False,False
Passer domesticus,Aves,House Sparrow,Not Listed,Not Listed,4,1992.0,2025.0,False,False
Podargus strigoides,Aves,Tawny Frogmouth,Not Listed,Not Listed,4,2016.0,2021.0,False,False
Prunus laurocerasus,Flora,Cherry Laurel,Not Listed,Not Listed,4,1983.0,2010.0,False,False
Acanthiza pusilla,Aves,Brown Thornbill,Not Listed,Not Listed,3,1996.0,2004.0,False,False
Accipiter fasciatus,Aves,Brown Goshawk,Not Listed,Not Listed,3,1989.0,2023.0,False,False
Acetosella vulgaris,Flora,Sheep Sorrel,Not Listed,Not Listed,3,1987.0,2010.0,False,False
Aquila audax,Aves,Wedge-tailed Eagle,Not Listed,Not Listed,3,2003.0,2026.0,False,False
Australina pusilla,Flora,,Not Listed,Not Listed,3,1990.0,2001.0,False,False
Austrelaps sp.,Reptilia,Copperhead,Not Listed,Not Listed,3,2013.0,2017.0,False,False
Cestrum elegans,Flora,,Not Listed,Not Listed,3,1989.0,2011.0,False,False
Columba leucomela,Aves,White-headed Pigeon,Not Listed,Not Listed,3,2013.0,2022.0,False,False
Corvus coronoides,Aves,Australian Raven,Not Listed,Not Listed,3,2017.0,2025.0,False,False
Diospyros australis,Flora,Black Plum,Not Listed,Not Listed,3,1986.0,2016.0,False,False
Egretta novaehollandiae,Aves,White-faced Heron,Not Listed,Not Listed,3,2003.0,2023.0,False,False
Elatostema reticulatum,Flora,,Not Listed,Not Listed,3,1991.0,2016.0,False,False
Eucalyptus fastigata,Flora,Brown Barrel,Not Listed,Not Listed,3,1919.0,2001.0,False,False
Gerygone mouki,Aves,Brown Gerygone,Not Listed,Not Listed,3,1996.0,2023.0,False,False
Hackelia latifolia,Flora,,Not Listed,Not Listed,3,1984.0,2001.0,False,False
Hydrocotyle sibthorpioides,Flora,,Not Listed,Not Listed,3,2001.0,2003.0,False,False
Lonicera japonica,Flora,Japanese Honeysuckle,Not Listed,Not Listed,3,1987.0,1990.0,False,False
Microsorum pustulatum,Flora,Kangaroo Fern,Not Listed,Not Listed,3,1970.0,1990.0,False,False
Notamacropus rufogriseus,Mammalia,Red-necked Wallaby,Not Listed,Not Listed,3,2017.0,2023.0,False,False
Ocyphaps lophotes,Aves,Crested Pigeon,Not Listed,Not Listed,3,2003.0,2024.0,False,False
Olearia argophylla,Flora,Native Musk,Not Listed,Not Listed,3,1987.0,2001.0,False,False
Ozothamnus diosmifolius,Flora,White Dogwood,Not Listed,Not Listed,3,1974.0,2010.0,False,False
Pandorea pandorana subsp. pandorana,Flora,Wonga Wonga Vine,Not Listed,Not Listed,3,1978.0,2007.0,False,False
Parsonsia spp.,Flora,,Not Listed,Not Listed,3,2001.0,2001.0,False,False
Pinus radiata,Flora,Radiata Pine,Not Listed,Not Listed,3,2003.0,2016.0,False,False
Porphyrio porphyrio,Aves,Purple Swamphen,Not Listed,Not Listed,3,2003.0,2023.0,False,False
Prostanthera hirtula,Flora,,Not Listed,Not Listed,3,1950.0,1978.0,False,False
Rhipidura albiscapa,Aves,Grey Fantail,Not Listed,Not Listed,3,1992.0,2023.0,False,False
Rhipidura rufifrons,Aves,Rufous Fantail,Not Listed,Not Listed,3,2002.0,2004.0,False,False
Schizomeria ovata,Flora,Crabapple,Not Listed,Not Listed,3,1969.0,1973.0,False,False
Trichosurus sp.,Mammalia,brushtail possum,Not Listed,Not Listed,3,2004.0,2019.0,False,False
Turdus merula,Aves,Eurasian Blackbird,Not Listed,Not Listed,3,1992.0,2021.0,False,False
Vespadelus darlingtoni,Mammalia,Large Forest Bat,Not Listed,Not Listed,3,2022.0,2024.0,False,False
Zanda funerea,Aves,Yellow-tailed Black-Cockatoo,Not Listed,Not Listed,3,1992.0,2023.0,False,False
Acaena novae-zelandiae,Flora,Bidgee-widgee,Not Listed,Not Listed,2,1982.0,2010.0,False,False
Acanthiza lineata,Aves,Striated Thornbill,Not Listed,Not Listed,2,1992.0,2025.0,False,False
Acanthorhynchus tenuirostris,Aves,Eastern Spinebill,Not Listed,Not Listed,2,2002.0,2022.0,False,False
Accipiter novaehollandiae,Aves,Grey Goshawk,Not Listed,Not Listed,2,2016.0,2018.0,False,False
Anthochaera carunculata,Aves,Red Wattlebird,Not Listed,Not Listed,2,2023.0,2024.0,False,False
Anthoxanthum odoratum,Flora,Sweet Vernal Grass,Not Listed,Not Listed,2,2003.0,2010.0,False,False
Blechnum neohollandicum,Flora,,Not Listed,Not Listed,2,1989.0,2001.0,False,False
Caligavis chrysops,Aves,Yellow-faced Honeyeater,Not Listed,Not Listed,2,1992.0,2025.0,False,False
Dactylis glomerata,Flora,Cocksfoot,Not Listed,Not Listed,2,2003.0,2010.0,False,False
Dichondra repens,Flora,Kidney Weed,Not Listed,Not Listed,2,2001.0,2010.0,False,False
Diplazium australe,Flora,Austral Lady Fern,Not Listed,Not Listed,2,2001.0,2016.0,False,False
Elaeocarpus kirtonii,Flora,Silver Quandong,Not Listed,Not Listed,2,1990.0,1994.0,False,False
Elanus axillaris,Aves,Black-shouldered Kite,Not Listed,Not Listed,2,1998.0,2024.0,False,False
Entolasia marginata,Flora,Bordered Panic,Not Listed,Not Listed,2,1992.0,2001.0,False,False
Epacris calvertiana var. versicolor,Flora,,Not Listed,Not Listed,2,1918.0,1948.0,False,False
Geranium homeanum,Flora,,Not Listed,Not Listed,2,1990.0,2010.0,False,False
Helicia glabriflora,Flora,Smooth Helicia,Not Listed,Not Listed,2,1969.0,1971.0,False,False
Hypochaeris radicata,Flora,Catsear,Not Listed,Not Listed,2,2003.0,2010.0,False,False
Lepyrodia cryptica,Flora,,Not Listed,Not Listed,2,1948.0,1964.0,False,False
Ligustrum lucidum,Flora,Large-leaved Privet,Not Listed,Not Listed,2,1970.0,1978.0,False,False
Malurus cyaneus,Aves,Superb Fairy-wren,Not Listed,Not Listed,2,1992.0,1993.0,False,False
Microlaena stipoides,Flora,Weeping Grass,Not Listed,Not Listed,2,2001.0,2003.0,False,False
Myrsine variabilis,Flora,,Not Listed,Not Listed,2,1970.0,2016.0,False,False
Neochmia temporalis,Aves,Red-browed Finch,Not Listed,Not Listed,2,1992.0,2014.0,False,False
Nyctophilus geoffroyi,Mammalia,Lesser Long-eared Bat,Not Listed,Not Listed,2,2015.0,2019.0,False,False
Ornithorhynchus anatinus,Mammalia,Platypus,Not Listed,Not Listed,2,2025.0,2025.0,False,False
Pachycephala pectoralis,Aves,Golden Whistler,Not Listed,Not Listed,2,1996.0,2003.0,False,False
Pellaea nana,Flora,Dwarf Sickle Fern,Not Listed,Not Listed,2,2001.0,2007.0,False,False
Phylidonyris novaehollandiae,Aves,New Holland Honeyeater,Not Listed,Not Listed,2,1992.0,1996.0,False,False
Poa annua,Flora,Winter Grass,Not Listed,Not Listed,2,1989.0,1998.0,False,False
Possum sp.,Mammalia,unidentified possum,Not Listed,Not Listed,2,2019.0,2021.0,False,False
Potentilla indica,Flora,Indian Strawberry,Not Listed,Not Listed,2,1970.0,1978.0,False,False
Pseudocolus fusiformis,Flora,,Not Listed,Not Listed,2,2010.0,2010.0,False,False
Pseudohydnum gelatinosum,Flora,,Not Listed,Not Listed,2,2010.0,2010.0,False,False
Pteridium esculentum,Flora,Bracken,Not Listed,Not Listed,2,2003.0,2010.0,False,False
Ranunculus repens,Flora,Creeping Buttercup,Not Listed,Not Listed,2,2003.0,2010.0,False,False
Raphanus raphanistrum,Flora,Wild Radish,Not Listed,Not Listed,2,2003.0,2003.0,False,False
Rubus fruticosus sp. agg.,Flora,Blackberry complex,Not Listed,Not Listed,2,2003.0,2010.0,False,False
Sigesbeckia orientalis subsp. orientalis,Flora,Indian Weed,Not Listed,Not Listed,2,1970.0,1978.0,False,False
Stellaria flaccida,Flora,,Not Listed,Not Listed,2,1990.0,2001.0,False,False
Tachybaptus novaehollandiae,Aves,Australasian Grebe,Not Listed,Not Listed,2,2021.0,2024.0,False,False
Zoothera lunulata,Aves,Bassian Thrush,Not Listed,Not Listed,2,2002.0,2003.0,False,False
Acacia binervata,Flora,Two-veined Hickory,Not Listed,Not Listed,1,1978.0,1978.0,False,False
Acacia longifolia,Flora,,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Acacia longifolia subsp. longifolia,Flora,Sydney Golden Wattle,Not Listed,Not Listed,1,1970.0,1970.0,False,False
Acacia suaveolens,Flora,Sweet Wattle,Not Listed,Not Listed,1,1966.0,1966.0,False,False
Acacia terminalis,Flora,Sunshine Wattle,Not Listed,Not Listed,1,1948.0,1948.0,False,False
Acaena spp.,Flora,Sheep's Burr,Not Listed,Not Listed,1,1990.0,1990.0,False,False
Acanthiza pusilla pusilla,Aves,,Not Listed,Not Listed,1,1998.0,1998.0,False,False
Acer palmatum,Flora,Japanese Maple,Not Listed,Not Listed,1,2010.0,2010.0,False,False
Acridotheres tristis,Aves,Common Myna,Not Listed,Not Listed,1,2003.0,2003.0,False,False
Agapanthus spp.,Flora,,Not Listed,Not Listed,1,2023.0,2023.0,False,False
